Eilučių kiekis,Laikas (sekundėmis),Alic
100,,0.0014918741238866386
200,,0.001948796557460318
400,,0.0021089718180987223
800,,0.00341411828329298
1600,,0.006118346139240503
3200,,0.011506390133828993
6400,,0.022524229648854966
12800,,0.04328213551470589
25600,,0.08565454611428572
51200,,0.17289504623529411
